Term	P.value	Genes
TBX2 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	0.860707970571138	PLLP;RFPL2;NRCAM;SOX5
NANOG 20526341 ChIP-Seq ESCs Human	0.86138372590164	CD274;ARL17A;OLAH;ANXA3;SERPING1;IL27;GPR84;PDCD1LG2
GATA3 26560356 Chip-Seq TH2 Human	0.863216733184972	BTNL9;CASP5;FAM118A;SPDYE4;SLC1A3;C4BPA;FOLR3;FCGR1A
SOX2 19829295 ChIP-Seq ESCs Human	0.863671958556613	ARL17B;FHAD1;BATF2;SERPING1;ANK2;RPS4Y1;SYN2;C1QC
NANOG 19829295 ChIP-Seq ESCs Human	0.863671958556613	ARL17B;FHAD1;BATF2;SERPING1;ANK2;RPS4Y1;SYN2;C1QC
SALL4 22934838 ChIP-ChIP CD34+ Human	0.86553692553927	PKIB;SERPING1;KIF20A;PDCD1LG2;WNT16
HAND2 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma	0.866589785744127	GBP6;C1QB;FAM118A;FN1;SLC1A3;ANK2;PDCD1LG2;FHAD1;ARL17A;LYPD6B;TMEM119;SERPING1;FFAR3;NRCAM;FGF13;SRGAP1;SYBU;ATF3;SOX5
SMAD4 21741376 ChIP-Seq ESCs Human	0.86860015917789	GBP5;PLEKHG7;EPSTI1;KREMEN1;FFAR3;GPR84;CACNA1E;SYN2
TP63 30713093 ChIP-Seq Epithelial Human Tongue SCC	0.869442245833145	FHAD1;IFI27;ANKRD22;FBXO39;ANOS1;TMEM119;BHLHE41;KREMEN1;WNT16;ATF3;MYOM2
BCL6 25482012 ChIP-Seq CML-JURL-MK1 Human	0.87295559473561	ARL17A;PKIB;PLLP;COL4A3;BHLHE41;ANK2;SRGAP1;CD177
FOXA1 33576154 ChIP-Seq Human Liver ProstateCancer	0.873492152669942	GRIP1;ANKRD22;HPN;KREMEN1;KIF20A;UTY;SRGAP1;SYBU;ATF3;CD177
GATA2 19941826 ChIP-Seq K562 Human	0.878443137766158	GRIP1;GRIN3A;PLLP;FAM118A;FN1;NRCAM;MOCS1;SOX5
STAT1 20625510 ChIP-Seq HELA Human	0.879383939350756	COL4A3;GBP1
GTF3C2 35216376 ChIP-Seq H9 Human BoneMarrow Lymphoma	0.881375458936226	PKIB;PLLP;LYPD6B;NRCAM;SRGAP1;COCH
GATA6 25053715 ChIP-Seq YYC3 Human	0.886900691115531	PLLP;SLC1A3;C4BPA;NRCAM;ROR1;SRGAP1;SYN2;VSIG10
FOXA1 21915096 ChIP-Seq LNCaP-1F5 Human	0.887680482338228	NOS1AP;SPDYE4;ROR1;KIF20A;PDCD1LG2;MYOM2;CD177;GDF7
TP63 22573176 ChIP-Seq HFKS Human	0.894427104216297	ANXA3;ANKRD22;KREMEN1;SLC1A3;PARVA;PDCD1LG2;WNT16;SYN2;LRP1B;VSIG10;FHAD1;ETV7;LYPD6B;NRCAM;FOLR3;MOCS1;NAIP;CD177
TCF21 26020271 ChIP-Seq HCASMC Human CoronaryArtery	0.895390133894023	CD274;FN1;MMP19;PARVA;SRGAP1
ELK1 22589737 ChIP-Seq MCF10A Human	0.897247258792702	BATF2;ANXA3;NRCAM
FOXA1 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	0.898838081188666	PLEKHG7;ANXA3;ANKRD22;HPN;BHLHE41;ZFY;WNT16;INSYN2B;GRIP1;PKIB;COL4A3;ROR1;KIF20A;UTY;FGF13;SYBU;CD177;SOX5
KLF4 26769127 Chip-Seq PDAC-Cell Line Human	0.901328956082488	FHAD1;PLEKHG7;BHLHE41;SLITRK5;ROR1;SRGAP1;ATF3;C1QC
TCF4 32651957 ChIP-Seq PLC/PRF/5 Human Liver Heptoma	0.90253873177361	NOS1AP;ROR1
TP53 22127205 ChIP-Seq IMR90 Human	0.902681900495117	PLEKHG7;CLEC18B;ATF3
GATA3 26560356 Chip-Seq TH1 Human	0.913837052616958	ARL17B;MOXD1;HPN;CLEC18B;GPR84;ATF3;CORIN
SPI1 20517297 ChIP-Seq HL60 Human	0.915201090348719	GBP6;BTNL9;SIGLEC16;ANKRD22
PIAS1 25552417 ChIP-Seq VCAP Human	0.916888613464984	GRIN3A;WNT16
CDX2 20551321 ChIP-Seq CACO-2 Human	0.919162385894874	GPR84
TBX2 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma	0.919980166553064	CD274;ARL17A;PKIB;WDR17;PLLP;FAM118A;SERPING1;SLC1A3;PDCD1LG2;WNT16;SRGAP1;ATF3
RUNX1 27514584 Chip-Seq MCF-7 Human	0.922870432313524	FHAD1;SIGLEC16;PKIB;PLLP;KCNK17;FCGR1A;CACNA1E
ESR2 21235772 ChIP-Seq MCF-7 Human	0.924667234827601	PKIB
SOX2 20726797 ChIP-Seq SW620 Human	0.925363066598703	BTNL9;NRN1;IFI27;PLLP;ANKRD22;HP;FN1;ROR1;ATF3
FOXA1 25329375 ChIP-Seq VCAP Human	0.926364060571574	GBP6;IFI27;ANKRD22;NRCAM;ROR1;CYYR1;FCGR1A
FOXA1 27270436 Chip-Seq PROSTATE Human	0.926364060571574	GBP6;IFI27;ANKRD22;NRCAM;ROR1;CYYR1;FCGR1A
SOX2 21211035 ChIP-Seq LN229 Human	0.929170629355965	RFPL2;HPN;EPSTI1;WNT16;SRGAP1;XKR3;DDO
GABP 17652178 ChIP-ChIP JURKAT Human	0.929249056290328	DDX3Y;PKIB
EWS-ERG 20517297 ChIP-Seq CADO-ES1 Human	0.92948976292916	SIGLEC16;RFPL2;FFAR3
TCF12/HEB 22897851 ChIP-Seq JUKARTE6-1 Human	0.929994408160098	GRIP1;ROR1;CACNA1E;XKR3;MOCS1;MYOM2;CORIN
RUNX1 22897851 ChIP-Seq JUKARTE6-1 Human	0.930267157178945	GRIP1;GBP5;ARL17A;COL4A3;SPDYE4;GBP1;CD177
AR 20517297 ChIP-Seq VCAP Human	0.932944542587675	GBP6;BTNL9;FHAD1;PKIB;IFI27;PARVA;KIF20A
AR 21915096 ChIP-Seq LNCaP-1F5 Human	0.936793585331052	PLLP;BHLHE41;ANK2;ROR1;PARVA;DDO;CORIN
SMRT 27268052 Chip-Seq Bcells Human	0.937291999846607	PLEKHG7;BHLHE41;NRCAM;PDCD1LG2;CACNA1E;CORIN;CD177
RUNX1 22343733 ChIP-Seq Kasumi1 Human PeriphBlood AML	0.93861391863498	SYBU
MAF 26560356 Chip-Seq TH2 Human	0.938766782822658	FHAD1;GBP5;NRN1;PLEKHG7;RFPL2;ATF3;VSIG10
MAF 26560356 Chip-Seq TH1 Human	0.939733102869799	FHAD1;GBP5;SIGLEC16;ANXA3;RFPL2;FBXO39;ATF3
GATA1 19941826 ChIP-Seq K562 Human	0.942951704028221	PLLP;FAM118A
HNF1A 26855178 ChIP-Seq Caco2 Human Colon Adenocarcinoma	0.943605143962081	C4BPA
POU2F1 35413990 ChIP-Seq Human ARnegCRProstateCancer	0.946328382198926	FHAD1
WT1 25993318 ChIP-Seq PODOCYTE Human	0.950087391914716	MOXD1;WDR17;KREMEN1;PARVA;GPR84;DDO;FHAD1;LYPD6B;SLAMF8;TMEM119;SERPING1;ROR1;SRGAP1;CSMD1
GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human	0.953739201354563	KREMEN1;CSMD1;MYOM2
ELK1 19687146 ChIP-ChIP HELA Human	0.954122192223101	PKIB;CYYR1
ER 23166858 ChIP-Seq MCF-7 Human	0.955197126129495	NRCAM;XKR3
TFAP2A 17053090 ChIP-ChIP MCF-7 Human	0.961147823220573	SERPING1;SLITRK5;GPR84;FGF13;SRGAP1;SOX5
SPI1 23127762 ChIP-Seq K562 Human	0.961750401816296	PKIB;NRCAM;KIF20A;FCGR1A
RUNX1 17652178 ChIP-ChIP JURKAT Human	0.962304556055204	ANK2;FGF13
TAL1 22897851 ChIP-Seq JUKARTE6-1 Human	0.964425775925958	GRIP1;ROR1;KCNK17;CACNA1E;GBP1;MYOM2
GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	0.964863706335052	GBP6;ETV7;GBP5;GRIN3A;ANXA3;PLLP;NOS1AP;FAM118A;CSMD1
FOXA1 21572438 ChIP-Seq LNCaP Human	0.965817708997693	LYPD6B;EPSTI1;SERPING1;NRCAM;CYYR1;ZFY
OCT4 19829295 ChIP-Seq ESCs Human	0.966569549553815	BTNL9;FHAD1;ROR1;GPR84;SRGAP1;CSMD1
RUNX1 22343733 ChIP-Seq PBMC Human BoneMarrow	0.967361010901664	KREMEN1;PDCD1LG2
KLF4 19829295 ChIP-Seq ESCs Human	0.968028497892994	ARL17B;BTNL9;FHAD1;BATF2;COL4A3;ATF3
DNAJC2 21179169 ChIP-ChIP NT2 Human	0.969270712558729	NRN1;UTY
MYB 26560356 Chip-Seq TH1 Human	0.970376773075165	FHAD1;GBP5;FAM118A;SLC1A3;FOLR3;ATF3
SMAD2/3 21741376 ChIP-Seq ESCs Human	0.970642481044432	ARL17B;FHAD1;BATF2;KCNK17;GPR84;SRGAP1
UBF1/2 26484160 Chip-Seq HMECs Human	0.970906020191021	C1QB;ANKRD22;FN1;TMEM119;BHLHE41;ROR1
SPI1 23547873 ChIP-Seq NB4 Human	0.971410444410659	C1QB;CD274;PKIB;C1QA;ANKRD22;FAM118A;TMEM119;BHLHE41;IL27;GPR84;SYN2;C1QC
HNF4A 19761587 ChIP-ChIP CACO-2 Human	0.971594031602228	FN1;SOX5
FOXA1 26743006 Chip-Seq LNCaP-abl Human	0.971683777042618	BHLHE41;KREMEN1;ANK2;ROR1;GBP1;LRP1B
EVI1 22308434 ChIP-Seq SKOV3 Human Ovary OvarianCancer	0.972864158865435	SRGAP1;DDO;SOX5
CTCF 21964334 ChIP-Seq BJAB-B Human	0.973904802389115	BATF2;SLITRK5;ROR1;IL27;SRGAP1;C1QC
PBX1 22567123 ChIP-ChIP OVCAR3 Human	0.974141507991491	BTNL9;GRIN3A;SERPING1;SLC1A3;FCGR1A;SOX5
FOXA1 25552417 ChIP-Seq VCAP Human	0.975295884646326	IFI27;HPN;ROR1;KIF20A;UTY;CD177
CBP 20019798 ChIP-Seq JUKART Human	0.975448539507265	GBP5;GBP1
ESR1 26153859 ChIP-Seq T47D Human Breast Carcinoma	0.975469609214328	FHAD1;LYPD6B;HPN;SYBU;ATF3
KDM2B 26808549 Chip-Seq JURKAT Human	0.976402953180203	BTNL9;NRN1;BHLHE41;ROR1;CACNA1E;VSIG10
KDM2B 26808549 Chip-Seq SUP-B15 Human	0.977045196632531	NRN1;HPN;BHLHE41;ROR1;GPR84;MYOM2
SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human	0.978369685366161	GRIP1;GRIN3A;ANXA3;EPSTI1;CSMD1
TTF2 22483619 ChIP-Seq HELA Human	0.978617753609086	PKIB;HPN;SLITRK5;OTX1
ELF1 20517297 ChIP-Seq JURKAT Human	0.979056756528358	APOL4;XKR3
ERA 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human	0.979184816105674	ANXA3;BHLHE41
MYC 22102868 ChIP-Seq BL Human	0.981626061100582	NRN1
SMAD2 18955504 ChIP-ChIP HaCaT Human	0.981774303910829	ANXA3;SLC1A3;FOLR3;ATF3;NAIP
SMAD3 18955504 ChIP-ChIP HaCaT Human	0.981774303910829	ANXA3;SLC1A3;FOLR3;ATF3;NAIP
ERG 20517297 ChIP-Seq VCAP Human	0.982801105677138	FFAR3;XKR3
MYC 19915707 ChIP-ChIP AK7 Human	0.983124774939546	PKIB;FN1;TMEM119;GPR84;SYN2;C1QC
TP53 32428506 ChIP-Seq Human Liver Heptoma	0.98348946343984	ATF3
MYC 18940864 ChIP-ChIP HL60 Human	0.983838980768645	PKIB
AR 22383394 ChIP-Seq PROSTATE CANCER Human	0.984053070227544	FN1;ANK2;PARVA;LRP1B;CORIN
SMC4 20622854 ChIP-Seq HELA Human	0.984367166931984	FHAD1;BATF2;C1QA;SLC1A3;IL27
EST1 17652178 ChIP-ChIP JURKAT Human	0.984951827049401	RPS4Y1
MITF 21258399 ChIP-Seq MELANOMA Human	0.985001299076269	MOXD1;NRN1;FAM118A;BHLHE41;KREMEN1;SLC1A3;ANK2;PARVA;GPR84;PDCD1LG2;MYOM2;FHAD1;APOL4;IFI27;LYPD6B;NOS1AP;ROR1;FGF13;SRGAP1;MOCS1;CSMD1;SOX5
EBNA1 20929547 Chip-Seq RAJI-cells Human	0.985052919786705	CASP5;SLAMF8;KREMEN1;ROR1;DDO
E2F1 20622854 ChIP-Seq HELA Human	0.986064086676668	APOL4;PLLP;FFAR3;GPR84;FCGR1A
E2F4 17652178 ChIP-ChIP JURKAT Human	0.986088234342026	KIF20A
TFAP2A 35110662 ChIP-Seq HEPM Human Embryo	0.987180623382022	CD274;ARL17A;VSIG10
CSB 26484114 Chip-Seq FIBROBLAST Human	0.987836154796074	BTNL9;PDCD1LG2;FOLR3;CSMD1;MYOM2
MYCN 27167114 Chip-Seq NEUROBLASTOMA Human	0.987836154796074	FHAD1;NRN1;BHLHE41;CLEC18B;PARVA
JUND 26020271 ChIP-Seq HCASMC Human CoronaryArtery	0.988026340233312	ATF3
LXR 22292898 ChIP-Seq THP-1 Human	0.989010222798226	C1QA;APOL4;SYN2;CSMD1;ATF3
GATA3 27048872 Chip-Seq THYMUS Human	0.989176875520935	EPSTI1;BHLHE41;KREMEN1;FCGR1A;GDF7
GATA3 24758297 ChIP-Seq MCF-7 Human	0.989820045253726	PLEKHG7;ANXA3;PLLP;MOCS1;VSIG10
MYB 26560356 Chip-Seq TH2 Human	0.989820045253726	DDX3Y;ARL17A;EPSTI1;SLC1A3;FOLR3
AF4 28076791 ChIP-Seq SEM Human Blood Leukemia	0.989842483611896	NOS1AP
CREB1 26743006 Chip-Seq LNCaP Human	0.99062184571111	DDX3Y;RFPL2;SLITRK5;PARVA;GPR84
UBF1/2 26484160 Chip-Seq HMEC-DERIVED Human	0.990859962260632	FHAD1;FN1;BHLHE41;ROR1;PARVA
TFEB 21752829 ChIP-Seq HELA Human	0.990941794730459	ANKRD22
CTCF 27219007 Chip-Seq ERYTHROID Human	0.991452695003114	BHLHE41;SLITRK5;IL27;KIF20A;C1QC
P300 27058665 Chip-Seq ZR-75-30cells Human	0.992531114376005	BHLHE41;ROR1;SRGAP1;GBP1;ATF3
ILF3 29590119 ChIP-Seq K562 Human BoneMarrow Leukemia	0.99279833566622	ATF3
SMAD3 30307970 ChIP-Seq HCASMC Human CoronaryArtery	0.994831147386384	KREMEN1;ROR1;KCNK17;SYN2;ATF3
BRD4 25478319 ChIP-Seq HGPS Human	0.995124783673425	PKIB;MOXD1;PLLP;PRR16;PARVA
BCL6 27268052 Chip-Seq Bcells Human	0.995556702753879	ARL17A;GPR84;FCGR1A;SRGAP1
AR 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	0.995795954309655	CD274;OLAH;HPN;FAM118A;BHLHE41;ANK2;INSYN2B;GRIP1;PKIB;COL4A4;NRCAM;SYBU;ATF3;CD177
FOXA1 26457646 ChIP-Seq LHSAR Human ProstateCancer	0.99593876511042	FHAD1;ANKRD22;KIF20A;UTY;SYBU;CD177
FOXM1 25889361 ChIP-Seq OE33 AND U2OS Human	0.996062524236057	KIF20A
STAT1 17558387 ChIP-Seq HELA Human	0.996136727793205	GBP5;SRGAP1;COCH
FOXA1 27270436 ChIP-Seq LNCaP Human Prostate Carcinoma	0.996310834226306	WDR17;FFAR3;PDCD1LG2;SYBU;CD177
E2A 27217539 Chip-Seq RAMOS-Cell Line Human	0.99645428350285	GRIP1;MOXD1;SLITRK5;GPR84
STAT1 19122651 ChIP-Seq HeLaS3 Human CervicalCancer	0.996645937213034	CD274;BATF2;ANXA3;ANKRD22;SLC1A3;C4BPA;PARVA;LRP1B;IFI27;SRGAP1;GBP1;SYBU;ATF3
UTX 26944678 Chip-Seq JUKART Human	0.996798855363469	FHAD1;NRN1;KREMEN1;GPR84
KDM2B 26808549 Chip-Seq HPB-ALL Human	0.997061212631463	NRN1;BHLHE41;GPR84;ATF3
KDM5A 27292631 Chip-Seq BREAST Human	0.997173931686693	FAM118A
CHD1 26751641 Chip-Seq LNCaP Human	0.997240340604275	HPN;FAM118A;ROR1;IL27
KDM2B 26808549 Chip-Seq SIL-ALL Human	0.997318246844982	NRN1;PLLP;RFPL2;FAM118A
RUNX1 27514584 ChIP-Seq MCF-7 Human BreastCancer	0.997372875810935	PKIB;ANXA3;SYBU
EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human	0.997527639239992	BTNL9;MOXD1;NRN1;ANXA3;SLC1A3;PARVA;IL27;GPR84;WNT16;CACNA1E;GDF7;NOS1AP;PRR16;TMEM119;NRCAM;ROR1;OTX1;CYYR1;CSMD1;ATF3;SOX5
PADI4 21655091 ChIP-ChIP MCF-7 Human	0.997674581325094	NOS1AP
E2F1 21310950 ChIP-Seq MCF-7 Human	0.997691324492509	SOX5
RACK7 27058665 Chip-Seq MCF-7 Human	0.997703701735918	HPN;SLC1A3;IL27;VSIG10
ELK3 25401928 ChIP-Seq HUVEC Human	0.997832442485154	BATF2;HPN;ROR1;GPR84
MYCN 28898695 ChIP-Seq NB1643 Human Nerve Neuroblastoma	0.99828813718406	RFPL2;FAM118A;TMEM119;BHLHE41;ANK2;ATF3
ESR1 26153859 ChIP-Seq MCF-7 Human BreastCancer	0.998381352267741	CD274;ANXA3;PLLP;HPN;SEPTIN4;WNT16;VSIG10;PKIB;LYPD6B;SRGAP1;MOCS1;SYBU;ATF3
POU2F1 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	0.998658392722839	RFPL2
VDR 23849224 ChIP-Seq CD4+ Human	0.998937755946784	ARL17B;CD274;ARL17A;EPSTI1
BCOR 27268052 Chip-Seq Bcells Human	0.999017833092566	PLLP;GPR84;FCGR1A
P68 20966046 ChIP-Seq HELA Human	0.999036021768551	PLLP;FFAR3;IL27
P300 27268052 Chip-Seq Bcells Human	0.999149143891547	ARL17A;PLLP;SRGAP1
PPARD 21283829 ChIP-Seq MYOFIBROBLAST Human	0.999176934617046	PKIB;LYPD6B;SLITRK5;SRGAP1;CSMD1;MYOM2;VSIG10;DDO
CTCF 33576154 ChIP-Seq Human PerigastricLN ProstateCancer	0.999219765705566	RFPL2;ZFY;SRGAP1;CORIN;GDF7;C1QC
DACH1 20351289 ChIP-Seq MDA-MB-231 Human	0.999246255603819	SLITRK5;SRGAP1
NCOR1 26117541 ChIP-Seq K562 Human	0.999316682760681	GPR84;XKR3;ATF3
KDM2B 26808549 Chip-Seq DND41 Human	0.999419776380293	C1QA;BHLHE41;OTX1
E2F1 17053090 ChIP-ChIP MCF-7 Human	0.99943058739224	SLITRK5;SOX5
FOXP1 21924763 ChIP-Seq HESCs Human	0.999540242531799	PKIB;PLLP;SLC26A8;CLEC18B;ROR1;GPR84;FCGR1A;ATF3;MYOM2;GDF7
VDR 33458620 ChIP-Seq PrimaryEpithelial Human Prostate	0.999730632436641	CD274
MYC 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma	0.999759539764711	CD274;WDR17;FAM118A;KREMEN1;SLC1A3;ANK2;SYN2;INSYN2B;PKIB;PRR16;KIF20A;OTX1;MOCS1;SYBU
FOXP3 21729870 ChIP-Seq TREG Human	0.999820553214167	RPS4Y1
PHF8 20622854 ChIP-Seq HELA Human	0.999852559562714	ARL17B;PLLP
RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human	0.999900604206987	C1QB;ANXA3;PLLP;FAM118A;KREMEN1;CLEC18B;ANK2;MYOM2;GRIP1;APOL4;GRIN3A;NOS1AP;SRGAP1
ETS1 20019798 ChIP-Seq JURKAT Human	0.99992527729725	KIF20A
E2F4 21247883 ChIP-Seq LYMPHOBLASTOID Human	0.999972969634228	PLLP;CACNA1E;SRGAP1;COCH
FOXA1 33576154 ChIP-Seq Human Lung ProstateCancer	0.999973393935707	GRIP1;PKIB;ANKRD22;HPN;FAM118A;KREMEN1;KIF20A;UTY;SYBU;ATF3
ENL 26711339 ChIP-Seq SEM Human Blood Leukemia	0.999979459265012	BHLHE41
HOXC9 25013753 ChIP-Seq NEUROBLASTOMA BE2-C Human	0.999989396728095	PKIB
CTCF 33576154 ChIP-Seq Human HilarLN ProstateCancer	0.999991059153597	CD274;RFPL2;ZFY;SRGAP1;ATF3;CORIN;INSYN2B;C1QC
CTCF 33576154 ChIP-Seq Human Liver ProstateCancer	0.999991838232125	RFPL2;ROR1;SRGAP1;SYBU;ATF3;CORIN;GDF7;C1QC
FLI1 21571218 ChIP-Seq MEGAKARYOCYTES Human	0.999992126488092	GBP5;MOXD1;HPN;KREMEN1;SLC1A3;MYOM2;DDO;PKIB;LYPD6B;EPSTI1;SRGAP1;CSMD1;ATF3
AF4 26711339 ChIP-Seq SEM Human Blood Leukemia	0.999992310073055	LYPD6B;BHLHE41;KREMEN1;ANK2;KIF20A
GABP 19822575 ChIP-Seq HepG2 Human	0.999993809700307	CD274;COCH
YY1 33199912 ChIP-Seq 293T Human KidneyEmbryo	0.999995650475362	FAM118A;PRR16;ANK2;ROR1;SYBU
MYC 28411283 ChIP-Seq MDA231-LM2-4175 Human BreastCancer	0.999995834141523	ANK2;KIF20A
MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma	0.999996156349101	ROR1
